fonte,k_num,topico,ano,estimativa,ic_inf,ic_sup
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",1993,0.17499170084192303,0.1541014582394215,0.19554919534158305
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",1994,0.1787339426827438,0.15883479290826158,0.19875426557838807
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",1995,0.1830827682580084,0.1637108246148112,0.2018084880528106
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",1996,0.18790146379381656,0.1701529421064173,0.20535212523122987
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",1997,0.19305331551626798,0.17683556134089437,0.20948448526459418
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",1998,0.19840160965146234,0.18298156003666813,0.21403070687409376
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",1999,0.20380963242549938,0.1886357943446912,0.21931935137589464
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2000,0.20914067006447878,0.19364573059619428,0.22476222313064523
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2001,0.21425800879450027,0.19862776006240962,0.2304015882165713
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2002,0.21902493484166355,0.20302590132069792,0.2356092526724367
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2003,0.22330473443206833,0.20716315384363143,0.24022238166861726
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2004,0.2269606937918143,0.21119455773564286,0.24364899552946073
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2005,0.22991344635667102,0.21534857644761818,0.24549351735866676
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2006,0.23231301440108743,0.21841330219962315,0.24709509007055414
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2007,0.23436676740918233,0.22069745719624062,0.24889042940951422
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2008,0.2362820748650745,0.22192060134829308,0.25087210795308107
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2009,0.23826630625288267,0.22344630980299107,0.2530764595312095
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2010,0.2405268310567257,0.22667225473570327,0.2542246654991302
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2011,0.24313847819981022,0.23110015927227523,0.2558019794133948
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2012,0.2456459143616945,0.2340008720318847,0.25860724626874226
