ano,area_nome,nivel,titulos
2015,História,Mestrado,1168
2015,História,Não informado,0
2015,Não identificado,Doutorado,936
2015,Não identificado,Mestrado,2742
2015,Não identificado,Não informado,0
2015,Sociologia,Doutorado,363
2015,Sociologia,Mestrado,811
2015,Sociologia,Não informado,0
2016,Antropologia / Arqueologia,Doutorado,122
2016,Antropologia / Arqueologia,Mestrado,310
2016,Antropologia / Arqueologia,Não informado,0
2016,Ciência Política / RI,Doutorado,134
2016,Ciência Política / RI,Mestrado,476
2016,Ciência Política / RI,Não informado,0
2016,Economia,Doutorado,175
2016,Economia,Mestrado,979
2016,Economia,Não informado,0
2016,Geografia,Doutorado,342
2016,Geografia,Mestrado,867
2016,Geografia,Não informado,0
2016,História,Doutorado,449
2016,História,Mestrado,1251
2016,História,Não informado,0
2016,Não identificado,Doutorado,1012
2016,Não identificado,Mestrado,2840
2016,Não identificado,Não informado,0
2016,Sociologia,Doutorado,457
2016,Sociologia,Mestrado,775
2016,Sociologia,Não informado,0
2017,Antropologia / Arqueologia,Doutorado,121
2017,Antropologia / Arqueologia,Mestrado,324
2017,Antropologia / Arqueologia,Não informado,0
2017,Ciência Política / RI,Doutorado,149
2017,Ciência Política / RI,Mestrado,485
2017,Ciência Política / RI,Não informado,0
2017,Economia,Doutorado,221
2017,Economia,Mestrado,1079
2017,Economia,Não informado,0
2017,Geografia,Doutorado,410
2017,Geografia,Mestrado,929
2017,Geografia,Não informado,0
2017,História,Doutorado,415
2017,História,Mestrado,1147
2017,História,Não informado,0
2017,Não identificado,Doutorado,1142
2017,Não identificado,Mestrado,3173
2017,Não identificado,Não informado,0
2017,Sociologia,Doutorado,436
2017,Sociologia,Mestrado,787
2017,Sociologia,Não informado,0
2018,Antropologia / Arqueologia,Doutorado,157
2018,Antropologia / Arqueologia,Mestrado,293
2018,Antropologia / Arqueologia,Não informado,0
2018,Ciência Política / RI,Doutorado,199
2018,Ciência Política / RI,Mestrado,595
2018,Ciência Política / RI,Não informado,0
2018,Economia,Doutorado,213
2018,Economia,Mestrado,983
2018,Economia,Não informado,0
2018,Geografia,Doutorado,368
2018,Geografia,Mestrado,897
2018,Geografia,Não informado,0
2018,História,Doutorado,506
2018,História,Mestrado,1327
2018,História,Não informado,0
2018,Não identificado,Doutorado,1183
2018,Não identificado,Mestrado,3316
2018,Não identificado,Não informado,1
2018,Sociologia,Doutorado,395
2018,Sociologia,Mestrado,693
2018,Sociologia,Não informado,0
2019,Antropologia / Arqueologia,Doutorado,176
2019,Antropologia / Arqueologia,Mestrado,368
2019,Antropologia / Arqueologia,Não informado,0
2019,Ciência Política / RI,Doutorado,214
2019,Ciência Política / RI,Mestrado,747
2019,Ciência Política / RI,Não informado,0
2019,Economia,Doutorado,254
2019,Economia,Mestrado,1042
2019,Economia,Não informado,0
2019,Geografia,Doutorado,450
2019,Geografia,Mestrado,891
2019,Geografia,Não informado,0
2019,História,Doutorado,522
2019,História,Mestrado,1253
2019,História,Não informado,0
2019,Não identificado,Doutorado,1277
2019,Não identificado,Mestrado,3473
2019,Não identificado,Não informado,0
2019,Sociologia,Doutorado,446
2019,Sociologia,Mestrado,722
2019,Sociologia,Não informado,0
2020,Antropologia / Arqueologia,Doutorado,125
